zipcode,male,white,median_age
62076,0.54,1.00,53.5
62077,0.53,0.99,35.2
62078,0.47,1.00,37.8
62079,0.44,1.00,31.4
62080,0.47,0.99,45.6
62081,0.48,1.00,33.7
62082,0.56,0.94,40.8
62083,0.46,0.82,44.3
62084,0.50,0.96,43.3
62085,0.39,0.92,31.8
62086,0.47,0.98,46.5
62087,0.50,0.88,31.3
62088,0.52,0.99,43.6
62089,0.56,1.00,45.4
62090,0.42,0.02,33.3
62091,0.44,1.00,35.8
62092,0.48,0.98,46.3
62093,0.49,0.92,46.2
62094,0.49,0.98,43.2
62095,0.48,0.92,35.6
62097,0.50,0.97,42.4
62098,0.39,1.00,56.1
62201,0.43,0.23,30.4
62203,0.48,0.05,42.3
62204,0.47,0.02,35.1
62205,0.47,0.03,49.2
62206,0.48,0.37,34.8
62207,0.48,0.03,33.6
62208,0.50,0.57,39.4
62214,0.49,0.95,38.8
62215,0.54,0.89,34.3
62216,0.49,0.99,38.2
62217,0.54,0.93,38.2
62218,0.53,1.00,38.6
62219,0.46,0.92,39.1
62220,0.50,0.74,37.7
62221,0.48,0.68,38.2
62223,0.47,0.74,44.8
62225,0.55,0.67,23
62226,0.48,0.71,41.8
62230,0.49,0.96,39.9
